price,Sales Package,Model Number,Part Number,Series,Color,Type,Suitable For,Battery Backup,Power Supply,MS Office Provided,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Chipset,Clock Speed,Memory Slots,Expandable Memory,RAM Frequency,Cache,Graphic Processor,Number of Cores,OS Architecture,Operating System,System Architecture,Mic In,RJ45,USB Port,HDMI Port,Hardware Interface,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Refresh Rate,Wireless LAN,Bluetooth,Ethernet,Dimensions,Weight,Disk Drive,Web Camera,Finger Print Sensor,Keyboard,Backlit Keyboard,Pointer Device,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,HDD Capacity,RPM,Sound Chip,Lock Port,Model Name,Supported Operating System,Multi Card Slot,Included Software,Battery Cell,Security Chip,TGP,International Warranty,S-video,RJ11,VGA Port,NFC Support,Face Recognition,Laptop Bag,Antivirus,Dock Port,Firewire Port,Read/Write Speed,Wireless WAN,Stylus Included,Other Accessories,Optane Memory,Inbuilt 4G LTE,Recovery Options,EMMC Storage Capacity
"1,16,500","Laptop, Power Adaptor, User Guide, Warranty Documents",M7400QE-KM046WS,90NB0V51-M01440,,Black,Gaming Laptop,Gaming,,120W AC Adapter,Yes,GDDR6,4 GB,AMD,Ryzen 9 Octa Core,,Yes,1 TB,16 GB,DDR4,5900HX,,3.3GHz with Max Turbo Boost Frequency Up to 4.6 GHz,,,,20,NVIDIA GeForce RTX 3050 Ti,8,64 bit,Windows 11 Home,,Yes,,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1 x HDMI 1.4,,No,35.56 cm (14 inch),2880 x 1800 Pixel,"2.8K OLED (16:10 aspect ratio, 0.2ms response time, 90Hz refresh rate, 600nits peak brightness, 100% DCI-P3 color gamut)",Built-in Speaker,Built-in array microphones,,,Wi-Fi 6(802.11ax),v5.0,,317.4 x 228.5 x 17.9 mm,1.45 kg,Not Available,720p HD Camera With privacy shutter,Yes,Backlit Chiclet Keyboard,Yes,,63 WHrs Li-ion,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,,,,,M7400QE-KM046WS,Windows 11 Home,1x Micro SD card reader,MS Office Home & Student 2021,3 cell,,,,,,,,,,,,,,,,,,,,
"57,990","Laptop, Power Adaptor, User Guide, Warranty Documents",15ITL6,82H800RFIN,Ideapad Slim 3i (2021),Arctic Grey,Thin and Light Laptop,Processing & Multitasking,Upto 7.5 hours,65 W Adapter,Yes,,,Intel,Core i5,11th Gen,Yes,512 GB,8 GB,DDR4,1135G7,Intel SoC Platform,2.4 GHz with Turbo Boost Upto 4.2 Ghz,1 Slot,,3200 MHz,8 MB,Intel Integrated Iris Xe,4,64 bit,Windows 10 Home,64 bit,Yes,No,"1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only), 1 x USB 2.0",1 x HDMI Port (v1.4b),PCIe NVMe M.2,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit, Anti-Glare Display (250 nits Brightness)",Built-in Dual Stereo Speakers,Built-in Dual Array Microphones,2 x 1.5 W Stereo Speakers with Dolby Audio,,11ac (2x2),v5.0,,359.2 x 236.5 x 19.9 mm,1.65 kg,Not Available,720p Webcam With�Privacy�Shutter,No,Standard English Keyboard,No,Touchpad,"45 Wh Battery, ErP Lot 3, RoHS compliant",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,"High Definition (HD) Audio, Realtek ALC3287 Codec",,,,4 in 1 Card Reader,Microsoft Office Home and Student 2019,,Firmware TPM 2.0,,,,,,,,,,,,,,,,,,,
"1,46,490","Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",GL502VM-FY230T,90NB0DR1-M05560,ROG,Black Aluminum,Gaming Laptop,"Gaming, Travel & Business, Processing & Multitasking",,180 W AC Adapter,,GDDR5,6 GB,Intel,Core i7,7th Gen,Yes,256 GB,8 GB,DDR4,7700HQ,Intel HM175,2.8 GHz with Turbo Boost Upto 3.8 GHz,,Upto 24 GB,2400 MHz,6 MB,NVIDIA GeForce GTX 1060,,64 bit,Windows 10 Home,64 bit,Yes,Yes,"1 x USB 3.1 Type C (2nd Gen), 3 x USB 3.0",1 x HDMI Port (v1.4),SATA,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD LED Backlit Anti-glare Display,Built-in Speaker,Built-in Array Microphone,"Audio by ICEpower, Sonic Master",,IEEE 802.11ac,v4.1,10/100/1000 Mbps,390 x 266 x 23.5 mm,2.24 kg,Not Available,HD Webcam,,Illuminated Chiclet Keyboard,,Touchpad,Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,1 TB,7200,,,,,"2-in-1 Card Reader (SD, MMC)","Gaming Center, ROG Game First III, ICEsound",4 cell,,,,,,,,,,,,,,,,,,,,
"58,990","Laptop, battery, power adapter, user guide",GF63 Thin 10SCXR-1616IN / GF63 Thin 10SC-611IN,9S7-16R412-1616 / 9S7-16R512-611,GF63 Thin,Black,Gaming Laptop,Gaming,,120W Adapter,No,GDDR6,4 GB,Intel,Hexa Core i5,10th Gen,Yes,256 GB,8 GB,DDR4,10500H,,2.5 GHz with Turbo Boost upto 4.5 GHz,,,,12,NVIDIA GeForce GTX 1650 Max Q,6,64 bit,Windows 10 Home,64,,Yes,"1x Type-C USB3.2 (Gen1), 3x Type-A USB3.2 (Gen1)",1 x HDMI Port,NVMe PCIe,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit IPS Display (60Hz Refresh Rate, 45%NTSC Color Gamut)",Built in Dual Speakers,Built-in Microphones,2x 2W Stereo Speakers,60 Hz,Intel Wi-Fi 6 AX201(2*2 ax),v5.1,Yes,359 x 254 x 21.7,1.86 KG,Not Available,720p HD Webcam (30fps@720p),,Single Backlit Keyboard (Red),Yes,Touchpad,"3-Cell, 51 Whr Battery",2 Year On-Site Warranty,On-Site & Carry-In,Part Failure,"Physical Damage, Burn, Liquid Spill",,1 TB,,Realtek ALC 269,,GF63 Thin 10SCXR-1616IN / GF63 Thin 10SC-611IN,,,"Silver-Lining Print, Cooler Boost, Audio Boost, Dragon Center, Nahimic 3",3,,,,,,,,,,,,,,,,,,,,
"59,000","LAPTOP, ADAPTER, USER MANUAL",FQ5009TU,67V52PA,,Silver,Notebook,Everyday Use,6 HRS,,Yes,,,Intel,Core i5,12th Gen,Yes,512 GB,8 GB,DDR4,,,,,,,,NA INTEL IRIX,,,Windows 11 Home,,,,,,,No,39.62 cm (15.6 inch),1920.X1080 pixel,,,,,,,V5.0,,,,Not Available,,,,,,,1 year (1/1/1) limited warranty includes 1 year of parts and labor. On-site repair. Terms and conditions vary by country. Certain restrictions and exclusions apply.,Onsite,Manufacturing Defects,Physical Damage,,,,,,15S,,,,,,,,,,,,,,,,,,,,,,,,
"52,990","Laptop, Power Adaptor, User Guide, Warranty Documents",TP470EA-EC312WS,90NB0S01-M00BS0,VivoBook Flip 14,Indie Black,2 in 1 Laptop,Processing & Multitasking,,"65W AC Adapter, Li-ion battery",Yes,,,Intel,Core i3,11th Gen,Yes,512 GB,8 GB,LPDDR4X,1115G4,,4.1,,,,6,Intel Integrated UHD Graphics,2,64 bit,Windows 11 Home,64,Yes,,"1x USB 2.0 Type-A, 1x USB 3.2 Gen 2 Type-A, x Thunderbolt 4",1x HDMI 1.4,NVMe PCIe,Yes,35.56 cm (14 Inch),1920 x 1080 Pixels,"FHD, IPS-level Panel (250nits Brightness, 45% NTSC color gamut)",Built-in speaker,Built-in array microphone,,,Wi-Fi 6(802.11ax),v5.0,,324.0 x 220.0 x 18.7 mm,1.50 kg,Not Available,720p HD camera,,Backlit Chiclet Keyboard,Yes,,42WHrs,1 Year onsite warranty,Osnite,Manufacturing defects,Physical damage,1 Year,,,,,TP470EA-EC312WS,Windows 11 Home,1x Micro SD card reader,,3,,,,,,,,,,,,,,,Yes,,,,,
"68,499","Laptop, Power Adaptor",G5 5500,D560263WIN9B,GAMING G5 SERIES,Black,Gaming Laptop,"Gaming, Performance, Processing & Multitasking, Entertainment",UPTO 5 HOURS,,Yes,GDDR5,4 GB,Intel,Core i5,10th Gen,Yes,512 GB,8 GB,DDR4,,,,,,,8,NVIDIA GeForce GTX 1650Ti,4,64 bit,Windows 10,,,,YES,YES,,No,39.62 cm (15.6 inch),1920 X 1080$$Pixels pixel,,,,,120 Hz,YES,YES,,,2.3 kg,Not Available,YES,Yes,,Yes,,,12 MONTHS,Manufacturing Defects,Manufacturing Defects,Physical Damage,12 Months,,,,,Inspiron,WINDOWS10,YES,Windows Office,,,,,,,,,,No,YES,,,,YES,,,,,One Button,
"54,990","Laptop, Power Adaptor, User Guide, Warranty Documents",A715-75G-50TA/ A715-75G-41G/ A715-75G-52AA,NH.Q97SI.001/ NH.Q97SI.004,Aspire 7,Black,Gaming Laptop,Gaming,Up to 9 hours,3-pin 135 W AC Adapter,No,GDDR6,4 GB,Intel,Core i5,10th Gen,Yes,512 GB,8 GB,DDR4,,,2.4 GHz with Turbo Boost Upto 5 GHz,,32,,,NVIDIA GeForce GTX 1650,,64 bit,Windows 10 Home,64,Yes,Yes,"1 x USB Type-C Port, 2 x USB 3.2 Gen 1 Ports, 1 x USB 2.0 Port",1 x HDMI Port,PCIe NVMe,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD Acer ComfyView LED Backlit TFT LCD Anti-glare Display (45% NTSC Color Gamut, Wide Viewing Angle up to 170 Degrees, Ultra-Slim Design, 16:9 Aspect Ratio, IPS Level Panel, Mercury Free, Environment Friendly)",Built-in Dual Stereo Speakers,Built-in Dual Microphones,,,802.11a/b/g/n/acR2+ax wireless LAN,v5.0,Gigabit,363.4 x 254.5 x 20.9,2.15 Kg,Not Available,720p HD Webcam (1280 x 720 Resolution),No,FineTip Backlit Keyboard with Independent Standard Numeric Keypad ( International Language Support and Power Button),Yes,"Multi-gesture Touchpad, Supporting Two-finger Scroll; Pinch; Gestures to Open Cortana, Action Center, Multitasking; Application Commands",48 Wh 3-cell Li-ion�battery�pack,1 Year International Travelers Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,Kensington Lock Slot,,,,"Quick Access, Acer Care Center, Acer Product Registration, Acer Collection",3,,,1 Year,,,,,,,,,,,,,,,,,
"78,490","Laptop, Active Pen, battery, adapter, cables and user manuals",Inspiron 5410,D560631WIN9S,,Platinum Silver,2 in 1 Laptop,Processing & Multitasking,Upto 6 hours,,Yes,GDDR5,2 GB,Intel,Core i5,11th Gen,Yes,512 GB,8 GB,DDR4,1155G7,,2.5 GHz upto max turbo frequency at 4.5 Ghz,2,16,3200 MHz,8M,NVIDIA GeForce MX350,4,64 bit,Windows 11 Home,,Yes,,"2 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 2 Type-C with PowerDelivery and Video,",1 x HDMI Port (v1.4),M.2 SATA,Yes,35.56 cm (14 inch),1920 x 1080 pixel,Full HD WVA Truelife Touch Narrow Border 60Hz,Yes,Yes,Waves Maxx Audio Pro,,Intel Wi-Fi 6 2x2 (Gig+),v5.1,,321 x 211 x 18.3 mm,1.5 kg,Not Available,HD,Yes,Backlit Keyboard,Yes,Touchpad and Active Pen,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,,,,Kensington Lock Port,Inspiron 5410,Windows 11 Home,1 x Micro SD card reader,Office Home and Student 2021,3 cell,,,,,,,,,No,McAfee,,,,,,,,,,
"64,290","Laptop, Battery, Adapter, Cables and User Manuals",Inspiron 5418,D560454WIN9S,Inspiron,Silver,Thin and Light Laptop,Processing & Multitasking,Upto 6 hours,,Yes,,,Intel,Core i5,11th Gen,Yes,512 GB,8 GB,DDR4,11300H,,2.6 GHz upto Max Turbo Frequency at 4.4 GHz,2,32,3200 MHz,8,Intel Integrated Iris Xe,4,64 bit,Windows 10,64,Yes,No,"2 x USB 3.2 Type A,1 x USB 3.2 Type C",1 x HDMI Port (v1.4),M.2 SATA,No,35.56 cm (14 inches),1920 x 1080 Pixels,Full HD WVA Anti-Glare Display,Yes,Yes,Waves Maxx Audio Pro,,Intel Wi-Fi 6 (2x2) (Gig+),v5.1,Not Available,214 x 321 x 18,1.5 kg,Not Available,HD Webcam,Yes,English International Backlit Keyboard,Yes,Touchpad,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,,,,Kensington Lock Port,,,1 x Micro SD Card Reader,,4 cell,,,,,,,,,No,McAfee,,,,,,,,,,
"54,190","Laptop, battery, adapter, cables and user manuals",Vostro 3400,D552183WIN9DE,Vostro,Dune,Thin and Light Laptop,Processing & Multitasking,Upto 10 Hours,,Yes,GDDR5,2 GB,Intel,Core i5,11th Gen,Yes,512 GB,8 GB,DDR4,1135G7,,2.4 GHz upto Max Turbo Frequency at 4.2 GHz,2,16,2666 MHz,8,NVIDIA GeForce MX330,4,64 bit,Windows 10,64,Yes,Yes,"2 x USB 3.2, 1 x USB 2.0",1 x HDMI 1.4 port,M.2 SATA,No,35.56 cm (14 inches),1920 x 1080 Pixels,Full HD Anti Glare Display,Yes,Yes,Waves Maxx Audio Pro,,802.11ac,v4.1,,240 x 329 x 20,1.58 kg,Not Available,HD Webcam,,English International Non Backlit Keyboard,No,Touchpad,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,,,,Kensington Lock Port,,,"SD Media Card Reader (SD, SDHC, SDXC)",,3 cell,,,,,,,,,,,,,,,,,,,,
"55,490","Laptop, battery, power adapter, user guide",GF63 Thin 10SCXR-1618IN / GF63 Thin 10SC-612IN,9S7-16R512-612,GF63 Thin,Black,Gaming Laptop,Gaming,,120W Adapter,No,GDDR6,4 GB,Intel,Core i5,10th Gen,No,,8 GB,DDR4,10300H,,2.5 GHz with 4.5 GHz Max Turbo Boost Frequency,,,,8,NVIDIA GeForce GTX 1650 Max Q,,64 bit,Windows 10 Home,64,,Yes,"1x Type-C USB3.2 (Gen1), 3x Type-A USB3.2 (Gen1)",1 x HDMI Port,NVMe PCIe,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit IPS Display (60Hz Refresh Rate, 45%NTSC Color Gamut)",Built in Dual Speakers,Built-in Microphones,2x 2W Stereo Speakers,60 Hz,Intel Wi-Fi 6 AX201(2*2 ax),v5.1,Yes,359 x 254 x 21.7,1.86 KG,Not Available,720p HD Webcam (30fps@720p),,Single Backlit Keyboard (Red),Yes,Touchpad,"3-Cell, 51 Whr Battery",2 Year Warranty Term for Gaming & Content Creation (EU-WE),Carry-In Warranty,Part Failure,"Physical Damage, Burn, Liquid Spill",,1 TB,,Realtek ALC 269,,GF63 Thin 10SCXR-1618IN / GF63 Thin 10SC-612IN,,,"Silver-Lining Print, Cooler Boost, Audio Boost, Dragon Center, Nahimic 3",3,,,,,,,,,,,,,,,,,,,,
"81,998","Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",SF514-52T,NX.GU4SI.004,Swift 5,Honey Gold,Thin and Light Laptop,Processing & Multitasking,Upto 8 hours,45 W AC Adapter,Yes,,,Intel,Core i5,8th Gen,Yes,256 GB,8 GB,DDR3,8250U,,1.6 GHz with Turbo Boost Upto 3.4 GHz,,,,6 MB,Intel Integrated UHD 620,4,64 bit,Windows 10 Home,64 bit,Yes,,"2 x USB 3.0, 1 x USB Type C",1 x HDMI Port,SATA,Yes,35.56 cm (14 inch),1920 x 1080 Pixel,Full HD LED Backlit IPS Display,Built-in Dual Speakers,Built-in Digital Microphones,"Stereo Speakers, Acer TrueHarmony Plus Technology, Optimized Dolby Audio Premium Sound Enhancement",,IEEE 802.11a/b/g/n/ac,v4.2,,329 x 228 x 14.9 mm,0.97 kg,Not Available,HD Webcam,Yes,FineTip Keyboard with International Language Support,,Multi Gesture Touchpad,4670 mAh Li-ion Battery,1 Year International Travelers Warranty (ITW),Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,Noble Lock Slot,,,,"Acer Care Center, Acer Configuration Manager, Acer Portal, Acer Quick Access, Microsoft Office Home and Student 2016",2 cell,,,1 Year,,,,,,,,,,,,,,,,,
"55,999","Laptop, Power Adaptor, User Guide, Warranty Documents",15ITL6,82H802ETIN,,Arctic Grey,Laptop,Processing & Multitasking,UPTO 6 HRS,,Yes,,,Intel,Core i5,11th Gen,Yes,512 GB,8 GB,DDR4,,,,,,,,Intel Integrated,,,Windows 11 Home,,,,,,,No,39.62 cm (15.6 inch),1920x1080 pixel,,,,,,,YES,,,,Not Available,,,,,,,1 YEAR,ONSITE,MANUFACTURING DEFECT,PHYSICAL DEFECT,,,,,,IdeaPad 3,,,,,,,,,,,,,,,,,,,,,,,,
"1,02,551","Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",15-ce071TX,2GD81PA#ACJ,Omen,SHadow Black,Gaming Laptop,Gaming,,,No,GDDR5,4 GB,Intel,Core i5,7th Gen,Yes,128 GB,8 GB,DDR4,7300HQ,,2.5 GHz with Turbo Boost Upto 3.5 GHz,2 Slots,Upto 16 GB,2400 MHz,6 MB,NVIDIA GeForce GTX 1050,,64 bit,Windows 10 Home,64 bit,Yes,Yes,"3 x USB 3.0, 1 x USB 3.1 Type C (1st Gen), 1 x USB 3.1 Type C (2nd Gen) with Thunderbolt (3rd Gen) Technology",1 x HDMI Port (v2.0),SATA,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD LED Backlit Anti-glare Display,Built-in Dual Speakers,Dual Array Digital Microphones,"Bang and Olufsen Audio, HP Audio Boost 2.0 with Discrete Amplifier, DTS HeadphoneX for Simulated Surround Sound",,IEEE 802.11ac,v4.2,10/100/1000 Gigabit,388.6 x 275.6 x 24.9 mm,2.6 kg,Not Available,HP Wide Vision HD Webcam,,Dragon Red Backlit Island-style Keyboard with Numeric Keypad (Support 26-key nKRO Anti Ghosting Keys),Yes,Multi Gesture Touchpad,"Miracast Certified, Intel Speed Shift Technology, Polymer Battery, Supports Fast Charge",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,1 TB,7200,,Kensington Lock Slot,,,"3-in-1 Card Reader (SD, SDHC, SDXC Digital Media Reader)","Cyberlink Power Media Player, Omen Audio Control, Omen Command Center, Support Assistant 8.0, Recovery Manager Installer for Windows 10",4 cell,Trusted Platform Module (TPM) 2.0,,,,,,,,,McAfee Livesafe 12 Months Subscription,,,,,,,,,,
"67,990","Laptop, Power Adaptor, User Guide, Warranty Documents",15ARH05,82B500MMIN||82B500BHIN,Legion 5,Phantom Black,Gaming Laptop,"Gaming, Processing & Multitasking",Upto 7.1 hours,170 W Slim Tip Adapter,No,GDDR6,4 GB,AMD,Ryzen 5 Hexa Core,,Yes,256 GB,8 GB,DDR4,4600H,AMD SoC,3.0 GHz with Turbo Boost Upto 4.0 GHz,2 Slots,Upto 32 GB,3200 MHz,11 MB,NVIDIA GeForce GTX 1650,6,64 bit,Windows 10 Home,64 bit,Yes,Yes,"3 x USB 3.2 (1st Gen), 1 x USB 3.2 1st Gen (Always On), 1 x USB-C 3.2 Gen 1 (Support Data Transfer and DisplayPort 1.2)",1x HDMI Port (v2.0),NVMe PCIe,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit Anti-glare IPS Display (120Hz Refresh Rate, 45% NTSC Color Gamut, 250 nits Brightness, DC dimmer, 4 Sided Narrow Bezel (Active Area 84%))",Built-in Dual Speakers,Dual Array Microphone,"2W x 2 Stereo Speakers, Dolby Atmos for Gaming, HARMAN-branded Speakers",120 Hz,AX 2x2 (WiFi 6),v5.0,100/1000M,363.06 x 259.61 x 24 mm,2.3 kg,Not Available,720p Webcam (with Privacy Shutter),No,"White Backlit, English Keyboard",Yes,Touchpad,"Integrated 60Wh Battery, Lenovo Q-Control 3.0, Hybrid Mode, Rapid Charge Pro (0-50% in 30 Mins), Anti-oil and High Abrasion Polymer Blend, 100% Anti-ghosting Keyboard, Legion Coldfront 2.0",1 Year Warranty + 1 Year Legion Ultimate Support + 1 Year ADP,Onsite,"(1) Manufacturer’s warranty against faulty workmanship or defective parts; (2) ADP-Single repair once in year against all Liquid spills, unintentional bump and drops, electric surge, cracks on screen; (3) Gamer centric support 24x7 on call support, Software support in case of HDD failure","(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty; (3) Premium Care & ADP- Not covered in case of Theft, fire, rain, flood and part alteration",1 Year,1 TB,5400,Realtek ALC3287,Kensington Security Slot,,,,,,,,,,,,,,,,,,,,,,,,,
"48,750","Laptop, Power Adaptor, User Guide",M515UA-BQ512TS,90NB0MS2-M09165,,Transparent Silver,Laptop,"Everyday Use, Processing & Multitasking, Performance, Entertainment",Upto 6 Hrs.,45W,Yes,,,AMD,Ryzen 5 Hexa Core,,Yes,512 GB,8 GB,DDR4,,,,,,,,AMD Radeon wega 8,,,Windows 10 Home,,Yes,,"1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A",1x HDMI 1.4,,No,39.62 cm (15.6 inch),1920 x 1080 pixel,"35.56cm(14.0-inch),FHD (1920 x 1080) 16:9,Anti-glare display,LED Backlit,200nits,NTSC: 45%,Screen-to-body ratio: 78%",,Yes,SonicMaster,,,4.1,,"32.50 x 21.60 x 2.31 ~ 2.31 cm (12.80"" x 8.50"" x 0.91"" ~ 0.91"") (W x D x H)",1.6 kg,Not Available,,Yes,,,,,1 Year Manufacturing Warranty,Onsite,Manufacturing Defects,Any Type of Damage,1 Year,512 GB,,,,VivoBook 15,,Micro SD card reader,,,,,1 Year,,,,,,No,,,,,,,,,,,
"58,990","Laptop, Power Adaptor, User Guide, Warranty Documents",Vostro 14 3400,D552154WIN9BE,,Dune,Laptop,Processing & Multitasking,upto 5 hours,,Yes,,,Intel,Core i5,11th Gen,No,,8 GB,DDR4,,,,,,,,Intel Integrated intel,,,Windows 10 Home,,,,,,,No,35.56 cm (14 inch),1920 X 1080 pixel,,,,,,,yes,,,,Not Available,,,,,,,1 YEAR DOMESTIC WARRANTY,ONSITE,MANUFACTURING DEFECT,PHYSICAL DAMAGE,,1 TB,,,,Vostro 14,,,,,,,,,,,,,,,,,,,,,,,,
"73,497","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide",15-EG2009TU,67U22PA#ACJ,Pavilion,Natural Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,,,Intel,Core i5,12th Gen,Yes,512 GB,8 GB,DDR4,1240P,,Max Turbo Frequency Upto 4.4 GHz,,,3200 MHz,12 MB,Intel Integrated Iris Xe,12,64 bit,Windows 11 Home,64 Bit,Yes,,"1 x SuperSpeed USB Type-C, 2 x SuperSpeed USB Type-A",1 x HDMI 2.1,PCIe NVMe M.2,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, IPS, Micro-Edge, Bright View, Brightness: 250 nits, 141 ppi, Color Gamut: 45% NTSC",Built-in Dual Speakers,Built in Dual Digital Array Microphone,Audio by B&O,,MediaTek Wi-Fi Certified 6 MT7921 (2x2),v5.2,,360 x 234 x 17.9 mm,1.75 kg,Not Available,HP Wide Vision 720p HD Camera with Temporal Noise Reduction,,"Full-size, backlit, Natural Silver keyboard with numeric keypad",Yes,HP Imagepad with multi-touch gesture support,"41 Wh Li-ion, Support battery fast charge",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,15-EG2009TU,Windows 11 Home,,Microsoft Office Home & Student 2021,3 Cell,"Energy Star Certified, EPEAT Silver Registered",,,,,,,,,,,,,,,,,,,
"1,39,990","Laptop, battery, power adapter, user guide",Stealth 15M A11UEK-227IN,9S7-156311-227,Stealth 15M,Carbon Gray,Gaming Laptop,Processing & Multitasking,,150W Adapter,No,GDDR6,6 GB,Intel,Core i7,11th Gen,Yes,1 TB,16 GB,DDR4,11375H,,5 GHz Max Turbo Boost Frequency,,,,,NVIDIA GeForce RTX 3060,,64 bit,Windows 10 Home,64,,No,"2 x Type-A USB3.2 Gen1, 1x Type-C (USB3.2 Gen2 / DP), 1x Type-C (USB4 / DP / Thunderbolt 4) with PD charging",1 x HDMI Port,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit IPS Display (144Hz Refresh Rate, 45%NTSC Color Gamut)",Built in Dual Speakers,Built-in Microphones,2x 2W Stereo Speakers,144 Hz,Intel Wi-Fi 6 AX201(2*2 ax),v5.1,,358.3 x 248 x 16.15,1.7 KG,Not Available,720p HD Webcam (30fps@720p),,RGB Gaming Keyboard,Yes,Touchpad,"3-Cell, 52 Whr Battery",2 Year Warranty Term for Gaming & Content Creation (EU-WE),Carry-In Warranty,Part Failure,"Physical Damage, Burn, Liquid Spill",,,,Realtek ALC233,,Stealth 15M A11UEK-227IN,,1x Micro SD Card Reader,"Silver-Lining Print, Cooler Boost, Audio Boost, Dragon Center, Nahimic 3",3,,65 W,,,,,,,,,,,,,,,,,,
"1,59,990","Laptop, Power Adaptor, User Guide, Warranty Documents",PT315-52,NH.Q9ZSI.001,Predator Triton 300,Black,Gaming Laptop,"Processing & Multitasking, Gaming",Upto 7 hours,230 W AC Adapter,No,GDDR6,8 GB,Intel,Core i7,10th Gen,Yes,2 TB,16 GB,DDR4,10750H,Intel HM470,2.6 GHz with Turbo Boost Upto 5 GHz,2 Slots,Upto 32 GB,,12 MB,NVIDIA GeForce RTX 2070 with Max-Q Design,6,64 bit,Windows 10 Home,64 bit,Yes,Yes,"2 x USB 3.2 (1st Gen), 1 x USB 3.2 Type C (2nd Gen), 1 x USB 3.2 (2nd Gen) Port with Power-off Charging, 1 x Mini Display Port",1 x HDMI Port,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit ComfyView IPS Display (16:9 Aspect Ratio, 300 nits Brightness, 240 Hz Refresh Rate, 100% sRGB Color Gamut)",Built-in Dual Speakers,Built-in Dual Microphones,"DTS X: Ultra Audio, Immersive Audio Rendering Over Headphones and Internal Speakers, Acer Purified Voice Technolog, Acer TrueHarmony Technology",,Killer Wi-Fi 6 AX1650i,v5.0,10/100/1000 Mbps (Killer Ethernet E2600),363 x 254 x 19.9 mm,2.1 kg,Not Available,720P HD Webcam (Super High Dynamic Range Imaging (SHDR)),,FineTip RGB-backlit Keyboard with Independent Standard Numeric Keypad (International Language Support),Yes,Multi-gesture Touchpad (Moisture Resistant),59 WHr Li-ion Battery,1 Year International Travelers Warranty (ITW),Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,Kensington Lock Slot,,,,"PredatorSense, Acer Product Registration, Acer Care Center, Acer Collection, Quick Access",4 cell,TPM,,1 Year,,,,,,,,,,,,,,,,,
